0	 24786 12470 2.55419 5.94782 50.9488
0.01	 26376 10951 2.5838 5.98577 52.6022
0.02	 28482 9920 2.62156 6.02782 54.3111
0.03	 29424 8572 2.6621 6.08273 55.9279
0.04	 28322 8356 2.70731 6.14024 57.5895
0.05	 25986 7384 2.7551 6.20576 59.3442
0.06	 25162 8160 2.81075 6.27355 60.9319
0.07	 23862 7782 2.86949 6.34964 62.5087
0.08	 22402 8835 2.93308 6.42922 64.0926
0.09	 21680 7764 2.99955 6.51246 65.7042
0.1	 20774 7815 3.0689 6.60147 67.2649
0.11	 19194 8011 3.1416 6.69461 68.8445
0.12	 18442 8011 3.21571 6.7892 70.4157
0.13	 16690 8211 3.29294 6.88932 72.0006
0.14	 15450 8835 3.37249 6.99145 73.5965
0.15	 14546 9546 3.45342 7.09687 75.1996
0.16	 13144 8835 3.53855 7.20543 76.8078
0.17	 11832 9114 3.6261 7.31571 78.4292
0.18	 11284 8635 3.71534 7.42968 80.0478
0.19	 10450 9114 3.80633 7.54604 81.6829
0.2	 10122 9725 3.89986 7.66554 83.2903
0.21	 9200 9780 3.99331 7.78655 84.9463
0.22	 8212 10191 4.09002 7.90762 86.5751
0.23	 7894 10724 4.18648 8.02398 88.117
0.24	 7838 10935 4.28496 8.14841 89.7359
0.25	 7186 10976 4.38219 8.26266 91.3104
0.26	 6518 11491 4.48141 8.38167 92.9375
0.27	 6664 11240 4.58156 8.49602 94.3283
0.28	 5526 12271 4.68461 8.61608 95.9101
0.29	 5442 11744 4.78529 8.72038 97.2212
0.3	 4620 12519 4.88936 8.83367 98.7001
0.31	 4996 12720 4.99385 8.94449 100.037
0.32	 4202 12797 5.09797 9.05871 101.49
0.33	 4324 12797 5.20552 9.17297 102.809
0.34	 3288 13595 5.31421 9.28939 104.273
0.35	 3396 13949 5.41804 9.4041 105.505
0.36	 3132 13595 5.52881 9.51934 106.994
0.37	 2996 15165 5.63923 9.6403 108.301
0.38	 2820 14511 5.75047 9.76315 109.879
0.39	 2496 14815 5.86103 9.87825 111.211
0.4	 2558 14477 5.97249 9.99459 112.7
0.41	 2338 15123 6.08614 10.1058 113.961
0.42	 2358 14211 6.20014 10.2147 115.279
0.43	 2434 15395 6.3117 10.3162 116.442
